fecha,hora,modelo,operacion,tiempo,input,cached_input,output,coste
2026-07-19,09:31:46,gpt-5.4-mini,importar_test_imagen,2.92,2579,0,358,0.003545
2026-07-19,09:31:49,gpt-5.4-mini,importar_test_imagen,2.17,2195,0,238,0.002717
2026-07-19,09:31:51,gpt-5.4-mini,importar_test_imagen,1.76,2118,0,201,0.002493
2026-07-19,09:31:53,gpt-5.4-mini,importar_test_imagen,2.19,2426,0,253,0.002958
2026-07-19,09:31:57,gpt-5.4-mini,importar_test_imagen,3.96,2349,0,356,0.003364
2026-07-19,09:31:59,gpt-5.4-mini,importar_test_imagen,2.14,2195,1792,193,0.002515
2026-07-19,09:32:01,gpt-5.4-mini,importar_test_imagen,1.73,2195,0,191,0.002506
2026-07-19,09:32:03,gpt-5.4-mini,importar_test_imagen,1.72,2118,1280,178,0.002390
2026-07-19,09:32:05,gpt-5.4-mini,importar_test_imagen,2.25,2118,0,228,0.002615
2026-07-19,09:32:08,gpt-5.4-mini,importar_test_imagen,2.58,2195,0,222,0.002645
2026-07-19,09:32:12,gpt-5.4-mini,importar_test_imagen,3.35,2656,0,435,0.003949
2026-07-19,09:32:17,gpt-5.4-mini,importar_test_imagen,4.67,2426,0,379,0.003525
2026-07-19,09:32:19,gpt-5.4-mini,importar_test_imagen,2.31,2272,0,287,0.002995
2026-07-19,09:32:27,gpt-5.4-mini,importar_test_imagen,8.16,2195,0,274,0.002879
2026-07-19,09:32:29,gpt-5.4-mini,importar_test_imagen,1.57,2118,0,172,0.002363
2026-07-19,09:32:32,gpt-5.4-mini,importar_test_imagen,3.00,2195,0,287,0.002938
2026-07-19,09:32:35,gpt-5.4-mini,importar_test_imagen,2.41,2118,0,237,0.002655
2026-07-19,09:32:37,gpt-5.4-mini,importar_test_imagen,2.25,2195,0,230,0.002681
2026-07-19,09:32:40,gpt-5.4-mini,importar_test_imagen,2.39,2195,0,292,0.002960
2026-07-19,09:32:42,gpt-5.4-mini,importar_test_imagen,1.75,2195,0,164,0.002384
2026-07-19,09:32:44,gpt-5.4-mini,importar_test_imagen,2.32,2195,0,197,0.002533
2026-07-19,09:32:46,gpt-5.4-mini,importar_test_imagen,1.98,2195,0,183,0.002470
2026-07-19,09:32:49,gpt-5.4-mini,importar_test_imagen,2.38,2195,1792,230,0.002681
2026-07-19,09:32:51,gpt-5.4-mini,importar_test_imagen,2.39,2195,0,224,0.002654
2026-07-19,09:32:54,gpt-5.4-mini,importar_test_imagen,2.61,2195,1792,196,0.002528
2026-07-19,09:32:56,gpt-5.4-mini,importar_test_imagen,1.74,2426,0,195,0.002697
2026-07-19,09:32:58,gpt-5.4-mini,importar_test_imagen,2.23,2272,0,187,0.002546
2026-07-19,09:33:00,gpt-5.4-mini,importar_test_imagen,1.87,2118,0,136,0.002201
2026-07-19,09:33:05,gpt-5.4-mini,importar_test_imagen,4.72,3040,0,531,0.004670
2026-07-19,09:33:08,gpt-5.4-mini,importar_test_imagen,2.32,2272,1792,220,0.002694
